Address,City,County Name,Healthcare Personnel Influenza Vaccination\x0;,Hospital Name,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Provider Number,State,ZIP Code,% Patients discharged on multiple antipsychotic medications with appropriate justification\x0;,% Post discharge continuing care plan created,% Post discharge continuing care plan transmitted to next level of careprovider upon discharge,Number of Records,Physical-restraint use\x0;ratio (hrs),Post-discharge care,Seclusion ratio (hrs)
100 W  CALIFORNIA BLVD,PASADENA,Los Angeles,92,HUNTINGTON MEMORIAL HOSPITAL,46.03%,50438,CA,91109,,0.7012,0.4861,1,0.71,Lowest,0.85
300 PASTEUR DRIVE,STANFORD,Santa Clara,92,STANFORD HEALTH CARE,69.66%,50441,CA,94305,97.83,0.9817,0.9772,1,0.1,Lowest,0.02
1441 FLORIDA AVENUE,MODESTO,Stanislaus,82,DOCTORS MEDICAL CENTER,38.61%,50464,CA,95350,58.14,0.7451,0.5515,1,0.42,Lowest,0.04
17772 BEACH BLVD,HUNTINGTON BEACH,Orange,76,HUNTINGTON BEACH HOSPITAL,50.65%,50526,CA,92647,100,1,1,1,0,Lowest,0
3751 KATELLA AVENUE,LOS ALAMITOS,Orange,92,LOS ALAMITOS MEDICAL CENTER,Not Available,50551,CA,90720,,0.9926,0.9889,1,0,Lowest,0
27700 MEDICAL CENTER RD,MISSION VIEJO,Orange,60,MISSION HOSPITAL REGIONAL MED CENTER,53.57%,50567,CA,92691,,0.267,0.2042,1,0.44,Lowest,0.01
7901 WALKER STREET,LA PALMA,Orange,71,LA PALMA INTERCOMMUNITY HOSPITAL,63.46%,50580,CA,90623,94.55,0.9964,0.9964,1,0,Lowest,0
23845 W MCBEAN PKWY,VALENCIA,Los Angeles,99,HENRY MAYO NEWHALL  HOSPITAL,40.63%,50624,CA,91355,92,0.8929,0.7009,1,1.19,Lowest,0.24
15615 POMERADO ROAD,POWAY,San Diego,77,POMERADO HOSPITAL,Not Available,50636,CA,92064,,0.9892,0.6162,1,0,Lowest,0
1720 TERMINO AVENUE,LONG BEACH,Los Angeles,95,COMMUNITY HOSPITAL OF LONG BEACH,39.53%,50727,CA,90804,,0.5658,0.5197,1,0.7,Lowest,0.86
1025 S ANAHEIM BLVD,ANAHEIM,Orange,88,ANAHEIM GLOBAL MEDICAL CENTER,26.98%,50744,CA,92805,34.15,0.9691,0.849,1,0.02,Lowest,0.01
2601 EAST CHAPMAN AVENUE,ORANGE,Orange,79,CHAPMAN GLOBAL MEDICAL CENTER,94.87%,50745,CA,92869,,0.9695,0.9391,1,0,Lowest,0
2701 SOUTH BRISTOL STREET,SANTA ANA,Orange,92,SOUTH COAST GLOBAL MEDICAL CENTER,61.54%,50747,CA,92704,100,0.9879,0.9153,1,0,Lowest,0
4929 VAN NUYS BLVD,SHERMAN OAKS,Los Angeles,97,SHERMAN OAKS HOSPITAL,37.22%,50755,CA,91403,100,0.996,0.9933,1,0,Lowest,0
1100 BUTTE ST,REDDING,Shasta,Not Available,SHASTA REGIONAL MEDICAL CENTER,Not Available,50764,CA,96001,,,,1,,Lowest,
150 MEDICAL PLAZA,LOS ANGELES,Los Angeles,91,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,72.47%,54009,CA,90095,82.76,0.9748,0.966,1,0.25,Lowest,0.11
1891 EFFIE ST,LOS ANGELES,Los Angeles,Not Available,GATEWAYS HOSP  MENTAL HEALTH CTR,Not Available,54028,CA,90026,,,,1,,Lowest,
4619 N ROSEMEAD BLVD,ROSEMEAD,Los Angeles,77,BHC ALHAMBRA HOSP,53.52%,54032,CA,91770,100,1,1,1,0.02,Lowest,0
23700 CAMINO DEL SOL,TORRANCE,Los Angeles,57,DEL AMO HOSPITAL,54.47%,54053,CA,90505,97.37,0.9885,0.8903,1,0.07,Lowest,0.09
10802 COLLEGE PL,CERRITOS,Los Angeles,66,COLLEGE HOSPITAL,52.20%,54055,CA,90703,45,0.964,0.9482,1,1.59,Lowest,1.31
1161 E COVINA BLVD,COVINA,Los Angeles,73,AURORA CHARTER OAK,48.73%,54069,CA,91724,80.21,0.2376,0.2374,1,0.08,Lowest,0
525 OREGON ST,VALLEJO,Solano,54,ST. HELENA HOSPITAL CENTER FOR BEHAVIORAL HEALTH,42.94%,54074,CA,94590,78.82,0.9366,0.9198,1,0.22,Lowest,0.19
7050 PARKWAY DRIVE,LA MESA,San Diego,55,ALVARADO PARKWAY INSTITUTE BEHAVIORAL HEALTH SYSTE,62.79%,54075,CA,91942,75,0.9309,0.9271,1,0.34,Lowest,0.35
801 SENECA ST,VENTURA,Ventura,82,AURORA VISTA DEL MAR HOSPITAL,47.49%,54077,CA,93001,35.79,0.9467,0.8396,1,0.05,Lowest,0.31
2900 E DEL MAR BLVD,PASADENA,Los Angeles,63,AURORA LAS ENCINAS HOSPITAL,47.69%,54078,CA,91107,100,1,1,1,0.09,Lowest,0
8001 BRUCEVILLE ROAD,SACRAMENTO,Sacramento,90,"SIERRA VISTA HOSPITAL, INC",33.80%,54087,CA,95823,100,1,0.9799,1,0.04,Lowest,0.13
302  SILVER AVE,SAN FRANCISCO,San Francisco,57,JEWISH HOME,62.75%,54089,CA,94112,,0.9888,0.6034,1,0,Lowest,0
1710 BARTON ROAD,REDLANDS,San Bernardino,81,LOMA LINDA BEHAVIORAL MED CTR,53.49%,54093,CA,92373,74.47,0.9785,0.9014,1,0.04,Lowest,0.03
11878 AVENUE OF INDUSTRY,SAN DIEGO,San Diego,100,AURORA SAN DIEGO,54.95%,54095,CA,92128,,0.9912,0.9461,1,0.06,Lowest,0.07
7700 FOLSOM BLVD,SACRAMENTO,Sacramento,94,SUTTER CENTER FOR PSYCHIATRY,55.95%,54096,CA,95826,,0.9797,0.8341,1,0.04,Lowest,0.09
4250 AUBURN BLVD,SACRAMENTO,Sacramento,84,HERITAGE OAKS HOSPITAL,44.98%,54104,CA,95841,84.48,0.9975,0.9975,1,0.04,Lowest,0.04
39001 SUNDALE DRIVE,FREMONT,Alameda,83,FREMONT HOSPITAL,33.17%,54110,CA,94538,94,0.9663,0.9663,1,0.1,Lowest,0.06
5353 G STREET,CHINO,San Bernardino,98,CANYON RIDGE HOSPITAL,48.67%,54111,CA,91710,79.07,1,0.8702,1,0.09,Lowest,0.31
2100 NAPA-VALLEJO HIGHWAY,NAPA,Napa,100,DEPT OF STATE HOSPITALS - NAPA,Not Available,54122,CA,94558,,,0,1,0.58,Lowest,0.09
2510 N  CALIFORNIA ST,STOCKTON,San Joaquin,94,ST JOSEPH'S BEHAVIORAL HEALTH CENTER,35.88%,54123,CA,95204,79.17,1,1,1,0.03,Lowest,0.06
720 WOOD ST,EUREKA,Humboldt,Not Available,SEMPERVIRENS,43.48%,54124,CA,95501,,,,1,,Lowest,
315 CAMINO DEL REMEDIO,SANTA BARBARA,Santa Barbara,61,SANTA BARBARA COUNTY PSYCHIATRIC HEALTH FACILITY,43.59%,54125,CA,93110,90.32,0.9937,0.9874,1,0.04,Lowest,0.4
5900 BROCKTON AVE,RIVERSIDE,Riverside,79,PACIFIC GROVE HOSPITAL,58.67%,54130,CA,92506,,0.9096,0.8072,1,0,Lowest,0
2740 GRANT STREET,CONCORD,Contra Costa,91,JOHN MUIR BEHAVIORAL HEALTH CENTER,42.21%,54131,CA,94524,98.61,0.9359,0.9241,1,0.14,Lowest,0.21
11401 S NORWALK BLVD,NORWALK,Los Angeles,61,DEPT OF STATE HOSPITALS - METROPOLITAN - PSY,Not Available,54133,CA,90650,,0.8421,0.7895,1,1.11,Lowest,0
1501 E 16TH ST,NEWPORT BEACH,Orange,82,NEWPORT BAY HOSPITAL,64.77%,54135,CA,92663,,0.927,0.927,1,0.01,Lowest,0.01
401 PARNASSUS AVENUE,SAN FRANCISCO,San Francisco,79,LANGLEY PORTER PSYCHIATRIC INSTITUTE,60.68%,54144,CA,94143,51.85,0.8806,0.8116,1,0.34,Lowest,0.58
7850 VISTA HILL AVENUE,SAN DIEGO,San Diego,91,SHARP MESA VISTA HOSPITAL,68.77%,54145,CA,92123,100,0.9609,0.9559,1,0.03,Lowest,0.01
"2633 E 27TH STREET, BUILDING B ",OAKLAND,Alameda,86,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,41.38%,54146,CA,94601,40,0.9784,0.9691,1,0.04,Lowest,0.56
7150 TAMPA AVENUE,RESEDA,Los Angeles,76,JOYCE EISENBERG KEEFER MEDICAL CENTER,Not Available,54147,CA,91335,,0.8232,0.8598,1,0,Lowest,0
18646 OXNARD STREET,TARZANA,Los Angeles,96,TARZANA TREATMENT CENTER,36.00%,54148,CA,91356,,1,0.1692,1,0,Lowest,0
2050 FAIRMONT DRIVE,SAN LEANDRO,Alameda,Not Available,WILLOW ROCK CENTER,Not Available,54149,CA,94578,,1,0.967,1,2.17,Lowest,0.34
3840 HOMESTEAD ROAD,SANTA CLARA,Santa Clara,91,KAISER PERMANENTE PSYCHIATRIC HEALTH FACILITY-SANT,Not Available,54150,CA,95051,,0.9933,0.9732,1,0.11,Lowest,0.01
1287 FULTON ROAD,SANTA ROSA,Sonoma,28,"AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA, LLC",52.49%,54151,CA,95401,19.5,0.9651,0.8347,1,0.23,Lowest,0.09
"2250 SOQUEL AVENUE, SUITE 150 ",SANTA CRUZ,Santa Cruz,41,SANTA CRUZ COUNTY PSYCHIATRIC HEALTH FACILITY,59.04%,54152,CA,95062,,0.9291,0.8919,1,0.53,Lowest,0.56
"2600 REDONDO AVENUE, SUITE 500 ",LONG BEACH,Los Angeles,30,OCEAN VIEW PSYCHIATRIC HEALTH FACILITY,Not Available,54153,CA,90806,100,1,1,1,0,Lowest,0
8300 W 38TH AVE,WHEAT RIDGE,Jefferson,98,LUTHERAN MEDICAL CENTER,49.77%,60009,CO,80033,,0.9913,0.1341,1,0.25,Lowest,3.46
1024 S LEMAY AVE,FORT COLLINS,Larimer,99,POUDRE VALLEY HOSPITAL,46.67%,60010,CO,80524,,0.9895,0.8071,1,0.84,Lowest,0.02
777 BANNOCK ST,DENVER,Denver,96,DENVER HEALTH MEDICAL CENTER,63.74%,60011,CO,80204,,0.7956,0.7518,1,0.38,Lowest,0.52
400 W 16TH STREET,PUEBLO,Pueblo,100,PARKVIEW MEDICAL CENTER INC,58.72%,60020,CO,81003,,0.4838,0.4838,1,0.17,Lowest,0.09
4747 ARAPAHOE AVENUE,BOULDER,Boulder,100,FOOTHILLS HOSPITAL - BOULDER COMMUNITY HEALTH,69.09%,60027,CO,80304,,0.9769,0.9306,1,0.18,Lowest,3.34
1000 LINCOLN ST,FORT MORGAN,Morgan,100,COLORADO PLAINS MEDICAL CENTER,Not Available,60044,CO,80701,,0.9948,0.9948,1,0,Lowest,0
2525 S DOWNING ST,DENVER,Denver,97,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,80.90%,60064,CO,80210,36.11,0.0427,0.2825,1,0.23,Lowest,0.15
1501 S POTOMAC ST,AURORA,Arapahoe,90,AURORA SOUTH HOSPITAL AND MEDICAL CENTER,68.00%,60100,CO,80012,,0.996,0.9921,1,0.01,Lowest,0.04
1600 WEST 24TH ST,PUEBLO,Pueblo,94,COLORADO MENTAL HEALTH INSTITUTE AT PUEBLO-PSYCH,Not Available,64001,CO,81003,65.38,0.9834,0.9301,1,0.98,Lowest,2.02
3520 W OXFORD AVE,DENVER,Denver,97,COLORADO MENTAL HEALTH INSTITUTE AT FT LOGAN,Not Available,64003,CO,80236,94.74,1,0.9947,1,0.09,Lowest,0.6
2255 S 88TH ST,LOUISVILLE,Boulder,99,CENTENNIAL PEAKS HOSPITAL,56.15%,64007,CO,80027,96.88,0.9978,0.9924,1,0.1,Lowest,0.01
2135 SOUTHGATE RD,COLORADO SPRINGS,El Paso,85,CEDAR SPRINGS HOSPITAL,50.47%,64009,CO,80906,32.08,0.986,0.8327,1,0.25,Lowest,0.22
515 28 3/4 ROAD,GRAND JUNCTION,Mesa,98,WEST SPRINGS HOSPITAL,45.52%,64023,CO,81501,34.29,0.6051,0.5853,1,0.06,Lowest,0.51
8565 S POPLAR WAY,LITTLETON,Douglas,78,HIGHLANDS BEHAVIORAL HEALTH SYSTEM,54.60%,64024,CO,80130,,0.9978,0.9837,1,0.22,Lowest,0.14
7353 SISTERS GROVE,COLORADO SPRINGS,El Paso,95,PEAK VIEW BEHAVIORAL HEALTH,47.09%,64026,CO,80918,,0.9545,0.9545,1,0.68,Lowest,0.07
114 WOODLAND STREET,HARTFORD,Hartford,95,ST FRANCIS HOSPITAL & MEDICAL CENTER,50.35%,70002,CT,06105,83.33,0.9757,0.9693,1,0.3,Lowest,0.4
"50 HOSPITAL HILL ROAD, PO BOX 789 ",SHARON,Litchfield,91,SHARON HOSPITAL,61.54%,70004,CT,06069,,0.8209,0.8209,1,0.05,Lowest,0.03
64 ROBBINS ST,WATERBURY,New Haven,100,WATERBURY HOSPITAL,71.68%,70005,CT,06721,85.71,0.7635,0.7455,1,0.22,Lowest,0.39
30 SHELBURNE ROAD,STAMFORD,Fairfield,63,STAMFORD HOSPITAL,64.63%,70006,CT,06904,,0.9671,0.9588,1,0.09,Lowest,0
365 MONTAUK AVE,NEW LONDON,New London,93,LAWRENCE & MEMORIAL HOSPITAL,Not Available,70007,CT,06320,,0.9012,0.9012,1,0.07,Lowest,0
201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,Tolland,98,JOHNSON MEMORIAL HOSPITAL,68.57%,70008,CT,06076,,1,0.9789,1,0.05,Lowest,1.17
267 GRANT STREET,BRIDGEPORT,Fairfield,77,BRIDGEPORT HOSPITAL,57.45%,70010,CT,06610,94.44,0.9471,0.9418,1,3.37,Lowest,0
540 LITCHFIELD ST,TORRINGTON,Litchfield,97,CHARLOTTE HUNGERFORD HOSPITAL,77.78%,70011,CT,06790,88.89,0.9505,0.9464,1,0.39,Lowest,1.14
56 FRANKLIN ST,WATERBURY,New Haven,100,SAINT MARYS HOSPITAL,51.06%,70016,CT,06706,86.67,1,1,1,0.77,Lowest,0
28 CRESCENT ST,MIDDLETOWN,Middlesex,100,MIDDLESEX HOSPITAL,69.03%,70020,CT,06457,88.64,0.7336,0.7218,1,0.12,Lowest,0.11
20 YORK ST,NEW HAVEN,New Haven,77,YALE-NEW HAVEN HOSPITAL,59.76%,70022,CT,06504,65.22,0.8902,0.7793,1,0.09,Lowest,
326 WASHINGTON ST,NORWICH,New London,96,WILLIAM W BACKUS HOSPITAL,66.39%,70024,CT,06360,100,0.9535,0.9419,1,0.41,Lowest,1.32
80 SEYMOUR STREET,HARTFORD,Hartford,97,HARTFORD HOSPITAL,66.51%,70025,CT,06102,67.83,0.8448,0.794,1,3.46,Lowest,1.44
71 HAYNES ST,MANCHESTER,Hartford,93,MANCHESTER MEMORIAL HOSPITAL,75.86%,70027,CT,06040,57.69,0.317,0.3092,1,0.2,Lowest,0.5
2800 MAIN ST,BRIDGEPORT,Fairfield,90,ST. VINCENT'S MEDICAL CENTER,63.16%,70028,CT,06606,41.38,0.8244,0.7988,1,0.07,Lowest,0
BREWSTER RD,BRISTOL,Hartford,100,BRISTOL HOSPITAL,74.07%,70029,CT,06010,0,0.1732,0.0736,1,0.77,Lowest,0
130 DIVISION ST,DERBY,New Haven,100,GRIFFIN HOSPITAL,71.88%,70031,CT,06418,,0.9283,0.8987,1,1.13,Lowest,0
24 HOSPITAL AVE,DANBURY,Fairfield,88,DANBURY HOSPITAL,71.64%,70033,CT,06810,,1,0.9727,1,0.46,Lowest,0.03
24 STEVENS STREET,NORWALK,Fairfield,100,NORWALK HOSPITAL ASSOCIATION,60.47%,70034,CT,06856,76.19,0.5134,0.4973,1,0.06,Lowest,0
100 GRAND STREET,NEW BRITAIN,Hartford,100,THE HOSPITAL OF CENTRAL CONNECTICUT,70.43%,70035,CT,06050,,0.861,0.861,1,0.22,Lowest,3.55
263 FARMINGTON AVE,FARMINGTON,Hartford,65,JOHN DEMPSEY HOSPITAL,67.16%,70036,CT,06032,,0.9871,0.8258,1,0.8,Lowest,0
22 MASONIC AVE,WALLINGFORD,New Haven,99,MASONICARE HEALTH CENTER HOSPITAL,58.00%,70039,CT,06492,,1,0.9444,1,0.6,Lowest,0.24
1 ABRAHMS BLVD,WEST HARTFORD,Hartford,97,HEBREW HOME AND HOSPITAL INC,75.00%,70040,CT,06117,,0.8559,0.8559,1,1.16,Lowest,0.57
SILVER ST,MIDDLETOWN,Middlesex,71,CONNECTICUT VALLEY HOSP,56.67%,74003,CT,06457,56.52,0.9711,0.9653,1,0.29,Lowest,0.03
189 STORRS RD,MANSFIELD CENTER,Tolland,98,NATCHAUG HOSPITAL,72.85%,74008,CT,06250,95.83,0.9995,0.9109,1,0.03,Lowest,0.27
34 PARK ST,NEW HAVEN,New Haven,70,CONNECTICUT MENTAL HEALTH CENTER,Not Available,74011,CT,06508,,0.96,0.9,1,0.03,Lowest,0
1635 CENTRAL AVE,BRIDGEPORT,Fairfield,78,SOUTHWEST CONNECTICUT MENTAL HEALTH,75.00%,74012,CT,06610,,0.8596,0.8596,1,0.37,Lowest,0.07
208 VALLEY ROAD,NEW CANAAN,Fairfield,60,SILVER HILL HOSPITAL INC,76.00%,74014,CT,06840,,0.9541,0.8799,1,0.05,Lowest,0
CHRISTIANA HOSPITAL 4755 OGLETOWN-STANTON ROAD,NEWARK,New Castle,97,CHRISTIANA HOSPITAL,53.00%,80001,DE,19718,72.41,0.9573,0.6588,1,0.53,Lowest,1.33
1901 N DUPONT HIGHWAY,NEW CASTLE,New Castle,69,DELAWARE PSYCHIATRIC CENTER,Not Available,84001,DE,19720,66.67,0.9818,0.9788,1,0.01,Lowest,0
100 ROCKFORD DRIVE,NEWARK,New Castle,72,ROCKFORD CENTER,54.08%,84002,DE,19713,100,0.9879,0.9332,1,0.02,Lowest,0.05
575 SOUTH DUPONT HIGHWAY,NEW CASTLE,New Castle,38,MEADOWWOOD BEHAVIORAL HEALTH SYSTEM,42.03%,84003,DE,19720,,1,0.9991,1,0.02,Lowest,0
725 HORSEPOND ROAD,DOVER,Kent,62,DOVER BEHAVIORAL HEALTH SYSTEM,50.22%,84004,DE,19901,51.85,0.9737,0.9669,1,0.05,Lowest,0.05
900 23RD ST NW,WASHINGTON,District of Columbia,94,GEORGE WASHINGTON UNIV HOSPITAL,40.22%,90001,DC,20037,,0.9153,0.4534,1,0.24,Lowest,0
3800 RESERVOIR RD,WASHINGTON,District of Columbia,100,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,33.33%,90004,DC,20007,,0.7588,0.4121,1,0,Lowest,0
5255 LOUGHBORO RD NW,WASHINGTON,District of Columbia,100,SIBLEY MEMORIAL HOSPITAL,53.70%,90005,DC,20016,82.93,0.9609,0.955,1,0.76,Lowest,0.03
1310 SOUTHERN AVENUE  SE,WASHINGTON,District of Columbia,22,UNITED MEDICAL CENTER,30.21%,90008,DC,20032,,0.5444,0.2811,1,0.09,Lowest,0.22
110 IRVING ST NW ROOM 2A-39,WASHINGTON,District of Columbia,100,MEDSTAR WASHINGTON HOSPITAL CENTER,35.86%,90011,DC,20010,0,0.0923,0.0804,1,0.2,Lowest,0.06
"1100 ALABAMA AVENUE, SE ",WASHINGTON,District of Columbia,89,ST ELIZABETHS HOSPITAL,Not Available,94001,DC,20032,87.76,0.8938,0.9063,1,0.05,Lowest,0.1
"4228 WISCONSIN AVENUE, NW ",WASHINGTON,District of Columbia,28,PSYCHIATRIC INSTITUTE OF WASHINGTON DC,30.37%,94004,DC,20016,23.08,0.8274,0.4253,1,0.06,Lowest,0.08
1414 KUHL AVE,ORLANDO,Orange,80,ORLANDO HEALTH,32.05%,100006,FL,32806,,0.4878,0.3285,1,6.31,Lowest,0.04
601 E ROLLINS STREET,ORLANDO,Orange,67,FLORIDA HOSPITAL,28.51%,100007,FL,32803,,0.938,0.8017,1,0.13,Lowest,0
303 N CLYDE MORRIS BOULEVARD,DAYTONA BEACH,Volusia,90,HALIFAX HEALTH MEDICAL CENTER,46.95%,100017,FL,32114,82.35,0.9923,0.8087,1,0.24,Lowest,0.12
350 7TH ST N,NAPLES,Collier,99,NAPLES COMMUNITY HOSPITAL,50.00%,100018,FL,34102,,1,1,1,0,Lowest,0
1611 NW 12 AVE INSTITUTE 119,MIAMI,Miami-Dade,48,JACKSON HEALTH SYSTEM,29.28%,100022,FL,33136,,0.6775,0.5608,1,0.11,Lowest,0.07
4300 ALTON RD,MIAMI BEACH,Miami-Dade,44,MOUNT SINAI MEDICAL CENTER,40.77%,100034,FL,33140,76.74,0.8744,0.7892,1,0,Lowest,0
3501 JOHNSON ST,HOLLYWOOD,Broward,60,MEMORIAL REGIONAL HOSPITAL,48.61%,100038,FL,33021,100,1,1,1,0.92,Lowest,2.01
1600 S ANDREWS AVE,FORT LAUDERDALE,Broward,44,BROWARD HEALTH MEDICAL CENTER,31.07%,100039,FL,33316,96.67,1,1,1,0.01,Lowest,0
701 W PLYMOUTH AVE,DELAND,Volusia,100,FLORIDA HOSPITAL DELAND,47.73%,100045,FL,32720,,0.9961,0.9845,1,0,Lowest,0
809 E MARION AVE,PUNTA GORDA,Charlotte,70,BAYFRONT HEALTH PUNTA GORDA,52.35%,100047,FL,33950,50.79,0.8927,0.8644,1,0.2,Lowest,0.1
1200 SEVENTH AVE N,SAINT PETERSBURG,Pinellas,Not Available,ST ANTHONY'S HOSPITAL,Not Available,100067,FL,33705,,,,1,,Lowest,
5301 S CONGRESS AVE,ATLANTIS,Not Available,79,JFK MEDICAL CENTER,36.36%,100080,FL,33462,,0.9179,0.9116,1,0.01,Lowest,0
1700 S TAMIAMI TRL,SARASOTA,Sarasota,100,SARASOTA MEMORIAL HOSPITAL,52.66%,100087,FL,34239,,0.9593,0.9209,1,0.24,Lowest,0.3
800 PRUDENTIAL DR,JACKSONVILLE,Duval,99,BAPTIST MEDICAL CENTER JACKSONVILLE,57.35%,100088,FL,32207,,0.8951,0.8704,1,4.13,Lowest,0.03
110 LONGWOOD AVE,ROCKLEDGE,Brevard,Not Available,WUESTHOFF MEDICAL CENTER  ROCKLEDGE,48.37%,100092,FL,32955,76.47,0.9623,0.9623,1,0.08,Lowest,0.07
1000 W MORENO ST,PENSACOLA,Escambia,90,BAPTIST HOSPITAL,38.86%,100093,FL,32501,75,0.8779,0.8169,1,0.26,Lowest,1.17
410 S 11TH ST,LAKE WALES,Polk,Not Available,LAKE WALES MEDICAL CENTER,54.55%,100099,FL,33853,,1,0.995,1,0.1,Lowest,0
1000 36TH ST,VERO BEACH,Indian River,99,INDIAN RIVER MEMORIAL HOSPITAL INC,60.29%,100105,FL,32960,,0.7572,0.7337,1,0.08,Lowest,0.06
PO BOX 864562,ORLANDO,Orange,67,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,54.05%,100109,FL,32886,,0.9758,0.8623,1,0,Lowest,0
700 WEST OAK STREET,KISSIMMEE,Osceola,87,OSCEOLA REGIONAL MEDICAL CENTER,48.48%,100110,FL,34741,,0.9016,0.888,1,0.03,Lowest,0.01
1600 SW ARCHER ROAD,GAINESVILLE,Alachua,94,UF HEALTH SHANDS HOSPITAL,54.66%,100113,FL,32610,80,0.9469,0.904,1,0.05,Lowest,0.21
20900 BISCAYNE BLVD,AVENTURA,Miami-Dade,89,AVENTURA HOSPITAL AND MEDICAL CENTER,44.94%,100131,FL,33180,70.37,0.9616,0.9616,1,0.01,Lowest,0.1
1300 MICCOSUKEE RD,TALLAHASSEE,Leon,85,TALLAHASSEE MEMORIAL HEALTHCARE,53.02%,100135,FL,32308,,1,0.874,1,0.36,Lowest,0.05
5900 COLLEGE ROAD,KEY WEST,Monroe,65,LOWER KEYS MEDICAL CENTER,43.86%,100150,FL,33040,,1,0.986,1,0.2,Lowest,0
1324 LAKELAND HILLS BLVD,LAKELAND,Polk,99,LAKELAND REGIONAL MEDICAL CENTER,33.09%,100157,FL,33805,,0.8037,0.6628,1,44.55,Lowest,0.54
5731 BEE RIDGE ROAD,SARASOTA,Sarasota,74,DOCTORS HOSPITAL OF SARASOTA,74.29%,100166,FL,34233,,1,1,1,0,Lowest,0
401 NW 42ND AVE,PLANTATION,Broward,73,PLANTATION GENERAL HOSPITAL,46.24%,100167,FL,33317,57.14,0.9625,0.9594,1,0.05,Lowest,0
3625 UNIVERSITY BLVD S,JACKSONVILLE,Duval,92,MEMORIAL HOSPITAL JACKSONVILLE,46.28%,100179,FL,32216,,0.8901,0.8319,1,0.07,Lowest,0.03
9330 SR 54,TRINITY,Pasco,79,MEDICAL CENTER OF TRINITY,38.81%,100191,FL,34655,100,0.9982,0.9871,1,0.14,Lowest,0.01
6401 N FEDERAL HWY,FORT LAUDERDALE,Broward,77,BROWARD HEALTH IMPERIAL POINT,49.49%,100200,FL,33308,,0.8737,0.8579,1,0.1,Lowest,0.01
6500 NEWBERRY RD,GAINESVILLE,Alachua,90,NORTH FLORIDA REGIONAL MEDICAL CENTER,36.76%,100204,FL,32605,,0.9904,0.9776,1,0,Lowest,0
2901 W SWANN AVE,TAMPA,Hillsborough,92,MEMORIAL HOSPITAL OF TAMPA,46.49%,100206,FL,33609,,0.8241,0.8063,1,0.01,Lowest,0.03
11750 BIRD ROAD,MIAMI,Miami-Dade,68,KENDALL REGIONAL MEDICAL CENTER,50.00%,100209,FL,33175,,0.9854,0.9854,1,0.06,Lowest,0.01
1000 MAR WALT DR,FT WALTON BEACH,Okaloosa,94,FORT WALTON BEACH MEDICAL CENTER,54.95%,100223,FL,32547,100,1,1,1,0.06,Lowest,0.82
7201 N UNIVERSITY DR,TAMARAC,Broward,71,UNIVERSITY HOSPITAL AND MEDICAL CENTER,54.94%,100224,FL,33321,100,0.9981,0.9972,1,0.03,Lowest,0.01
2001 KINGSLEY AVE,ORANGE PARK,Clay,98,ORANGE PARK MEDICAL CENTER,52.71%,100226,FL,32073,94.12,0.9975,0.9975,1,0,Lowest,0
8383 N DAVIS HIGHWAY,PENSACOLA,Escambia,88,WEST FLORIDA HOSPITAL,40.32%,100231,FL,32514,96.55,0.977,0.9741,1,0.01,Lowest,0.01
2201 45TH  ST,WEST PALM BEACH,Palm Beach,89,WEST PALM HOSPITAL,48.25%,100234,FL,33407,100,0.9988,0.9951,1,0.02,Lowest,0
119 OAKFIELD DR,BRANDON,Hillsborough,90,BRANDON REGIONAL HOSPITAL,41.77%,100243,FL,33511,,0.8359,0.8267,1,0.06,Lowest,0.24
1700 S 23RD ST,FORT PIERCE,Saint Lucie,76,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,32.72%,100246,FL,34950,100,1,0.9989,1,0.01,Lowest,0
201 14TH ST SW,LARGO,Pinellas,73,LARGO MEDICAL CENTER,39.67%,100248,FL,33770,,0.9911,0.9876,1,0.03,Lowest,0.03
2626 CAPITAL MEDICAL BLVD,TALLAHASSEE,Leon,71,CAPITAL REGIONAL MEDICAL CENTER,Not Available,100254,FL,32308,,0.9149,0.6099,1,0,Lowest,0
6001 WEBB RD,TAMPA,Hillsborough,87,TAMPA COMMUNITY HOSPITAL,34.20%,100255,FL,33615,89.47,0.9917,0.9642,1,0.04,Lowest,0.04
5352 LINTON BLVD,DELRAY BEACH,Palm Beach,77,DELRAY MEDICAL CENTER,69.84%,100258,FL,33484,100,0.9815,0.9784,1,0,Lowest,0
1800 SE TIFFANY AVE,PORT SAINT LUCIE,Saint Lucie,57,ST LUCIE MEDICAL CENTER,41.83%,100260,FL,34952,100,1,1,1,0.86,Lowest,0.08
901 45TH ST,WEST PALM BEACH,Palm Beach,95,ST MARY'S MEDICAL CENTER,32.50%,100288,FL,33407,100,0.9926,0.987,1,0.02,Lowest,0.02
